"text","rating","name","placeId","stars"
,,"Jeremy Self","ChIJF29RSCN1YogRcxDSyTusRm4","5"
"Brian and his team did a great job with several changes to our home.  They installed new lighting, plugs and moved some lighting fixtures.  I found them to be prompt, dependable and easy to work with.  Highly recommend them to business or residential customers.",,"Melanie Wilbourn","ChIJF29RSCN1YogRcxDSyTusRm4","5"
"Mr. Bailey is a decent, honest, conscientious businessman. We have had them out to work at our house twice. Both times they did great work, quickly and see a decent price. We will use them again!",,"M Naderi","ChIJF29RSCN1YogRcxDSyTusRm4","5"
,,"Lauren Self","ChIJF29RSCN1YogRcxDSyTusRm4","5"
,,"Rebecca Baldwin","ChIJF29RSCN1YogRcxDSyTusRm4","1"
,,,"ChIJfVFZpZ0SjIgRonlSq8ugbh8",
"Bryan and his team did an excellent job installing new electrical equipment and repairing old electrical equipment in my home.  They got the job done quickly and efficiently and left without leaving a mess for e to clean up.  Thanks guys.",,"Robert Brown","ChIJmd9_qLZQiYgRGRHK4U6uP3c","5"
"Excellent service!!!",,"Donna Wright","ChIJmd9_qLZQiYgRGRHK4U6uP3c","5"
,,"Kitty Williams","ChIJmd9_qLZQiYgRGRHK4U6uP3c","5"
"I had the owner come out to my home to give me an estimate on my electrical work. It involved installing commercial grade LED lighting in a renovation project I have been working on. He came out and provided a quote the next day. He assured me he knew how to complete this job and had experience. The next day I had 3 guys show up who had no idea how to do anything with LED lighting. They were asking me questions how to wire it up even after I handed them instructions from everything. They said they were done in 4 hours. When I turned on my LED lights in the master bedroom they were strobing and flickering. The crew left anyway after showing them this. I didn't feel so great about it and had more electrical work to be completed but I was waiting on items to arrive in the mail. I called another electrician out and he went through everything. The flickering with the LED lights was from a ground not connected in the light switch box in the bedroom. The power supplies in the attic to the LEDs were wired wrong entirely. The power inverter to power the wall control panel had wiring going to a power supply which should have never happened. The power supplies have their own dedicated power already in the attic within a few feet and this was explained several times. The crew did not appear to be legitimate electricians and I ended up paying another electrician double to come back and fix the mess they installed. The electrician that came out actually knew how to install LED lighting. I contacted Mr. Beasley about the installation through text message explaining my situation with no response. I gave him the opportunity to make it right. DO NOT DO BUSINESS WITH THIS COMPANY. THEY ARE A JOKE.

Mr. Beasley, this review will cost you more business than if you had just made it right.
Thanks",,"Adam Dozier","ChIJPbWe4xKpiYgRvk6QZM8XXFE","1"
